Factor prices and wage income;;;;;;;;
;interest;interest;interest;interest;interest;wages;wages;wages
year;NWS;Amsterdam;Groningen;DNB;British;agricultural;industry;household
;;on-call;mortgages;discount;3 % consols;wage;wage;income
;%;%;%;%;%;cts/day;cts/day;fl/year
1902;3,05;3,69;4,28;3,00;2,68;125,2;155,3;645,2
1903;3,13;3,84;4,30;3,40;2,79;126,7;157,0;659,2
1904;3,14;2,83;4,28;3,23;2,86;128,5;159,0;675,3
1905;3,17;2,76;4,28;2,68;2,81;131,2;162,1;695,7
1906;3,21;4,24;4,28;4,11;2,86;132,6;163,7;709,8
1907;3,35;5,62;4,33;5,10;3,00;134,2;165,4;725,0
1908;3,32;3,37;4,31;3,38;2,93;137,2;168,9;748,4
1909;3,24;2,39;4,26;2,88;3,02;141,3;173,6;778,2
1910;3,35;4,25;4,29;4,23;3,12;145;178,0;806,8
1911;3,52;3,25;4,52;3,45;3,19;148,2;181,9;825,6
1912;3,71;4,04;4,73;4,00;3,32;152,1;186,7;847,7
1913;3,76;4,09;4,87;4,52;3,43;157,1;192,8;876,0
;;;;;;;;
